mesh,nodes,h,equation,L1,L2,Linf,iterations,converged,elapsed_time_sec
5,9x9,16.0,p,0.0015950314432904866,0.0021290806935776543,0.00450797999544017,436,True,
5,9x9,16.0,u,0.00040811343928290615,0.0006585967437884411,0.0017445045770826395,436,True,
5,9x9,16.0,v,0.00015288126248467611,0.00017797077545869718,0.0003841467011856947,436,True,
4,17x17,8.0,p,0.00025500796624858724,0.00036149136496873647,0.0010710971857613716,1633,True,
4,17x17,8.0,u,4.486765878687472e-05,8.123909890440996e-05,0.00030552499145153345,1633,True,
4,17x17,8.0,v,2.651297571310687e-05,3.068330438510447e-05,6.227237860167989e-05,1633,True,
3,33x33,4.0,p,5.380737767102638e-05,7.362721314770808e-05,0.00027092827848751444,6282,True,60.30028125003446
3,33x33,4.0,u,4.625998015959367e-06,9.598730082414434e-06,5.023627507771966e-05,6282,True,60.30028125003446
3,33x33,4.0,v,5.2109132776111564e-06,6.066099273257469e-06,1.157085282388337e-05,6282,True,60.30028125003446
