case,width (m),height (m),u_min,u_max,v_min,v_max,p_min,p_max
Square reference,0.05,0.05,-0.19643213571213927,1.0,-0.336380875676663,0.3043720371872996,-1.9985264480285712,4.1962052592686145
Wide cavity,0.1,0.05,-0.3122466391508106,1.0,-0.3068565157110779,0.288122632584732,-3.5229668267097596,5.707682052614181
Tall cavity,0.05,0.1,-0.16010621110214132,1.0,-0.304276194652784,0.265023173990557,-0.9272040312491633,3.051904692366713
